COLLOCATES	WORDS	SPAN	CORPUS	SENTENCE_NUM	MATCHED_SENTENCE
campur	bahagia	'-4	corp_iMxd2012_1M	stn._37363	seketika perasaan anda <colloc span=-4>campur</colloc> aduk antara rasa <node>bahagia</node> dan cemas
aduk	bahagia	'-3	corp_iMxd2012_1M	stn._37363	seketika perasaan anda campur <colloc span=-3>aduk</colloc> antara rasa <node>bahagia</node> dan cemas
antara	bahagia	'-2	corp_iMxd2012_1M	stn._37363	seketika perasaan anda campur aduk <colloc span=-2>antara</colloc> rasa <node>bahagia</node> dan cemas
rasa	bahagia	'-1	corp_iMxd2012_1M	stn._37363	seketika perasaan anda campur aduk antara <colloc span=-1>rasa</colloc> <node>bahagia</node> dan cemas
dan	bahagia	'1	corp_iMxd2012_1M	stn._37363	seketika perasaan anda campur aduk antara rasa <node>bahagia</node> <colloc span=1>dan</colloc> cemas
cemas	bahagia	'2	corp_iMxd2012_1M	stn._37363	seketika perasaan anda campur aduk antara rasa <node>bahagia</node> dan <colloc span=2>cemas</colloc>
kenapa	bahagia	'-4	corp_iMxd2012_1M	stn._38070	entah <colloc span=-4>kenapa</colloc> ada setitis rasa <node>bahagia</node> yang segera merasup kedalam sukmaku saat melihatnya
ada	bahagia	'-3	corp_iMxd2012_1M	stn._38070	entah kenapa <colloc span=-3>ada</colloc> setitis rasa <node>bahagia</node> yang segera merasup kedalam sukmaku saat melihatnya
setitis	bahagia	'-2	corp_iMxd2012_1M	stn._38070	entah kenapa ada <colloc span=-2>setitis</colloc> rasa <node>bahagia</node> yang segera merasup kedalam sukmaku saat melihatnya
rasa	bahagia	'-1	corp_iMxd2012_1M	stn._38070	entah kenapa ada setitis <colloc span=-1>rasa</colloc> <node>bahagia</node> yang segera merasup kedalam sukmaku saat melihatnya
yang	bahagia	'1	corp_iMxd2012_1M	stn._38070	entah kenapa ada setitis rasa <node>bahagia</node> <colloc span=1>yang</colloc> segera merasup kedalam sukmaku saat melihatnya
segera	bahagia	'2	corp_iMxd2012_1M	stn._38070	entah kenapa ada setitis rasa <node>bahagia</node> yang <colloc span=2>segera</colloc> merasup kedalam sukmaku saat melihatnya
merasup	bahagia	'3	corp_iMxd2012_1M	stn._38070	entah kenapa ada setitis rasa <node>bahagia</node> yang segera <colloc span=3>merasup</colloc> kedalam sukmaku saat melihatnya
kedalam	bahagia	'4	corp_iMxd2012_1M	stn._38070	entah kenapa ada setitis rasa <node>bahagia</node> yang segera merasup <colloc span=4>kedalam</colloc> sukmaku saat melihatnya
rasa	bahagia	'-1	corp_iMxd2012_1M	stn._39935	<colloc span=-1>rasa</colloc> <node>bahagia</node> yang sangat menyelimuti hati saya yang berusia 12 tahun itu
yang	bahagia	'1	corp_iMxd2012_1M	stn._39935	rasa <node>bahagia</node> <colloc span=1>yang</colloc> sangat menyelimuti hati saya yang berusia 12 tahun itu
sangat	bahagia	'2	corp_iMxd2012_1M	stn._39935	rasa <node>bahagia</node> yang <colloc span=2>sangat</colloc> menyelimuti hati saya yang berusia 12 tahun itu
menyelimuti	bahagia	'3	corp_iMxd2012_1M	stn._39935	rasa <node>bahagia</node> yang sangat <colloc span=3>menyelimuti</colloc> hati saya yang berusia 12 tahun itu
hati	bahagia	'4	corp_iMxd2012_1M	stn._39935	rasa <node>bahagia</node> yang sangat menyelimuti <colloc span=4>hati</colloc> saya yang berusia 12 tahun itu
tak	bahagia	'-4	corp_iMxd2012_1M	stn._42833	<colloc span=-4>tak</colloc> ada lagi rona <node>bahagia</node> sebagaimana tampak dalam foto nikahnya
ada	bahagia	'-3	corp_iMxd2012_1M	stn._42833	tak <colloc span=-3>ada</colloc> lagi rona <node>bahagia</node> sebagaimana tampak dalam foto nikahnya
lagi	bahagia	'-2	corp_iMxd2012_1M	stn._42833	tak ada <colloc span=-2>lagi</colloc> rona <node>bahagia</node> sebagaimana tampak dalam foto nikahnya
rona	bahagia	'-1	corp_iMxd2012_1M	stn._42833	tak ada lagi <colloc span=-1>rona</colloc> <node>bahagia</node> sebagaimana tampak dalam foto nikahnya
sebagaimana	bahagia	'1	corp_iMxd2012_1M	stn._42833	tak ada lagi rona <node>bahagia</node> <colloc span=1>sebagaimana</colloc> tampak dalam foto nikahnya
tampak	bahagia	'2	corp_iMxd2012_1M	stn._42833	tak ada lagi rona <node>bahagia</node> sebagaimana <colloc span=2>tampak</colloc> dalam foto nikahnya
dalam	bahagia	'3	corp_iMxd2012_1M	stn._42833	tak ada lagi rona <node>bahagia</node> sebagaimana tampak <colloc span=3>dalam</colloc> foto nikahnya
foto	bahagia	'4	corp_iMxd2012_1M	stn._42833	tak ada lagi rona <node>bahagia</node> sebagaimana tampak dalam <colloc span=4>foto</colloc> nikahnya
itu	bahagia	'-4	corp_iMxd2012_1M	stn._48891	dia mengalihkan pandangan matanya kepada wanita cantik <colloc span=-4>itu</colloc> perasaan tenang dan <node>bahagia</node> terasa mengalir di tubuhnya ketika membalas tatapan wanita itu
perasaan	bahagia	'-3	corp_iMxd2012_1M	stn._48891	dia mengalihkan pandangan matanya kepada wanita cantik itu <colloc span=-3>perasaan</colloc> tenang dan <node>bahagia</node> terasa mengalir di tubuhnya ketika membalas tatapan wanita itu
tenang	bahagia	'-2	corp_iMxd2012_1M	stn._48891	dia mengalihkan pandangan matanya kepada wanita cantik itu perasaan <colloc span=-2>tenang</colloc> dan <node>bahagia</node> terasa mengalir di tubuhnya ketika membalas tatapan wanita itu
dan	bahagia	'-1	corp_iMxd2012_1M	stn._48891	dia mengalihkan pandangan matanya kepada wanita cantik itu perasaan tenang <colloc span=-1>dan</colloc> <node>bahagia</node> terasa mengalir di tubuhnya ketika membalas tatapan wanita itu
terasa	bahagia	'1	corp_iMxd2012_1M	stn._48891	dia mengalihkan pandangan matanya kepada wanita cantik itu perasaan tenang dan <node>bahagia</node> <colloc span=1>terasa</colloc> mengalir di tubuhnya ketika membalas tatapan wanita itu
mengalir	bahagia	'2	corp_iMxd2012_1M	stn._48891	dia mengalihkan pandangan matanya kepada wanita cantik itu perasaan tenang dan <node>bahagia</node> terasa <colloc span=2>mengalir</colloc> di tubuhnya ketika membalas tatapan wanita itu
di	bahagia	'3	corp_iMxd2012_1M	stn._48891	dia mengalihkan pandangan matanya kepada wanita cantik itu perasaan tenang dan <node>bahagia</node> terasa mengalir <colloc span=3>di</colloc> tubuhnya ketika membalas tatapan wanita itu
tubuhnya	bahagia	'4	corp_iMxd2012_1M	stn._48891	dia mengalihkan pandangan matanya kepada wanita cantik itu perasaan tenang dan <node>bahagia</node> terasa mengalir di <colloc span=4>tubuhnya</colloc> ketika membalas tatapan wanita itu
tentannya	bahagia	'-4	corp_iMxd2012_1M	stn._56976	kadang pula dia menanyakan tentang kabarnya cewek yang sudah merebut cintanya yaitu faiz jika mendengar pertanyaan <colloc span=-4>tentannya</colloc> ada sedikit rasa <node>bahagia</node> dan bercampur pula dengan rasa sedih menyayat-nyayat
ada	bahagia	'-3	corp_iMxd2012_1M	stn._56976	kadang pula dia menanyakan tentang kabarnya cewek yang sudah merebut cintanya yaitu faiz jika mendengar pertanyaan tentannya <colloc span=-3>ada</colloc> sedikit rasa <node>bahagia</node> dan bercampur pula dengan rasa sedih menyayat-nyayat
sedikit	bahagia	'-2	corp_iMxd2012_1M	stn._56976	kadang pula dia menanyakan tentang kabarnya cewek yang sudah merebut cintanya yaitu faiz jika mendengar pertanyaan tentannya ada <colloc span=-2>sedikit</colloc> rasa <node>bahagia</node> dan bercampur pula dengan rasa sedih menyayat-nyayat
rasa	bahagia	'-1	corp_iMxd2012_1M	stn._56976	kadang pula dia menanyakan tentang kabarnya cewek yang sudah merebut cintanya yaitu faiz jika mendengar pertanyaan tentannya ada sedikit <colloc span=-1>rasa</colloc> <node>bahagia</node> dan bercampur pula dengan rasa sedih menyayat-nyayat
dan	bahagia	'1	corp_iMxd2012_1M	stn._56976	kadang pula dia menanyakan tentang kabarnya cewek yang sudah merebut cintanya yaitu faiz jika mendengar pertanyaan tentannya ada sedikit rasa <node>bahagia</node> <colloc span=1>dan</colloc> bercampur pula dengan rasa sedih menyayat-nyayat
bercampur	bahagia	'2	corp_iMxd2012_1M	stn._56976	kadang pula dia menanyakan tentang kabarnya cewek yang sudah merebut cintanya yaitu faiz jika mendengar pertanyaan tentannya ada sedikit rasa <node>bahagia</node> dan <colloc span=2>bercampur</colloc> pula dengan rasa sedih menyayat-nyayat
pula	bahagia	'3	corp_iMxd2012_1M	stn._56976	kadang pula dia menanyakan tentang kabarnya cewek yang sudah merebut cintanya yaitu faiz jika mendengar pertanyaan tentannya ada sedikit rasa <node>bahagia</node> dan bercampur <colloc span=3>pula</colloc> dengan rasa sedih menyayat-nyayat
dengan	bahagia	'4	corp_iMxd2012_1M	stn._56976	kadang pula dia menanyakan tentang kabarnya cewek yang sudah merebut cintanya yaitu faiz jika mendengar pertanyaan tentannya ada sedikit rasa <node>bahagia</node> dan bercampur pula <colloc span=4>dengan</colloc> rasa sedih menyayat-nyayat
rasa	bahagia	'-1	corp_iMxd2012_1M	stn._65718	<colloc span=-1>rasa</colloc> <node>bahagia</node> menyelinap dalam diri
menyelinap	bahagia	'1	corp_iMxd2012_1M	stn._65718	rasa <node>bahagia</node> <colloc span=1>menyelinap</colloc> dalam diri
dalam	bahagia	'2	corp_iMxd2012_1M	stn._65718	rasa <node>bahagia</node> menyelinap <colloc span=2>dalam</colloc> diri
diri	bahagia	'3	corp_iMxd2012_1M	stn._65718	rasa <node>bahagia</node> menyelinap dalam <colloc span=3>diri</colloc>
atau	bahagia	'-4	corp_iMxd2012_1M	stn._68911	bagaimanapun juga setiap agama menyadari bahwa jiwa akan tetap hidup entah hidup untuk menderita karena dihukum <colloc span=-4>atau</colloc> hidup kekal dalam <node>bahagia</node>
hidup	bahagia	'-3	corp_iMxd2012_1M	stn._68911	bagaimanapun juga setiap agama menyadari bahwa jiwa akan tetap hidup entah hidup untuk menderita karena dihukum atau <colloc span=-3>hidup</colloc> kekal dalam <node>bahagia</node>
kekal	bahagia	'-2	corp_iMxd2012_1M	stn._68911	bagaimanapun juga setiap agama menyadari bahwa jiwa akan tetap hidup entah hidup untuk menderita karena dihukum atau hidup <colloc span=-2>kekal</colloc> dalam <node>bahagia</node>
dalam	bahagia	'-1	corp_iMxd2012_1M	stn._68911	bagaimanapun juga setiap agama menyadari bahwa jiwa akan tetap hidup entah hidup untuk menderita karena dihukum atau hidup kekal <colloc span=-1>dalam</colloc> <node>bahagia</node>
berbeda-beda	bahagia	'-4	corp_iMxd2012_1M	stn._72947	setiap pasangan mempunyai cara <colloc span=-4>berbeda-beda</colloc> saat mengekspresikan rasa <node>bahagia</node>
saat	bahagia	'-3	corp_iMxd2012_1M	stn._72947	setiap pasangan mempunyai cara berbeda-beda <colloc span=-3>saat</colloc> mengekspresikan rasa <node>bahagia</node>
mengekspresikan	bahagia	'-2	corp_iMxd2012_1M	stn._72947	setiap pasangan mempunyai cara berbeda-beda saat <colloc span=-2>mengekspresikan</colloc> rasa <node>bahagia</node>
rasa	bahagia	'-1	corp_iMxd2012_1M	stn._72947	setiap pasangan mempunyai cara berbeda-beda saat mengekspresikan <colloc span=-1>rasa</colloc> <node>bahagia</node>
rasa	bahagia	'-1	corp_iMxd2012_1M	stn._74883	<colloc span=-1>rasa</colloc> <node>bahagia</node> menyelinap dalam jiwa
menyelinap	bahagia	'1	corp_iMxd2012_1M	stn._74883	rasa <node>bahagia</node> <colloc span=1>menyelinap</colloc> dalam jiwa
dalam	bahagia	'2	corp_iMxd2012_1M	stn._74883	rasa <node>bahagia</node> menyelinap <colloc span=2>dalam</colloc> jiwa
jiwa	bahagia	'3	corp_iMxd2012_1M	stn._74883	rasa <node>bahagia</node> menyelinap dalam <colloc span=3>jiwa</colloc>
jelas	bahagia	'-4	corp_iMxd2012_1M	stn._77136	yang <colloc span=-4>jelas</colloc> aku tidak membutuhkan <node>bahagia</node> asalkan keluargaku semua sehat dan tidak ada halangan sesuatu
aku	bahagia	'-3	corp_iMxd2012_1M	stn._77136	yang jelas <colloc span=-3>aku</colloc> tidak membutuhkan <node>bahagia</node> asalkan keluargaku semua sehat dan tidak ada halangan sesuatu
tidak	bahagia	'-2	corp_iMxd2012_1M	stn._77136	yang jelas aku <colloc span=-2>tidak</colloc> membutuhkan <node>bahagia</node> asalkan keluargaku semua sehat dan tidak ada halangan sesuatu
membutuhkan	bahagia	'-1	corp_iMxd2012_1M	stn._77136	yang jelas aku tidak <colloc span=-1>membutuhkan</colloc> <node>bahagia</node> asalkan keluargaku semua sehat dan tidak ada halangan sesuatu
asalkan	bahagia	'1	corp_iMxd2012_1M	stn._77136	yang jelas aku tidak membutuhkan <node>bahagia</node> <colloc span=1>asalkan</colloc> keluargaku semua sehat dan tidak ada halangan sesuatu
keluargaku	bahagia	'2	corp_iMxd2012_1M	stn._77136	yang jelas aku tidak membutuhkan <node>bahagia</node> asalkan <colloc span=2>keluargaku</colloc> semua sehat dan tidak ada halangan sesuatu
semua	bahagia	'3	corp_iMxd2012_1M	stn._77136	yang jelas aku tidak membutuhkan <node>bahagia</node> asalkan keluargaku <colloc span=3>semua</colloc> sehat dan tidak ada halangan sesuatu
sehat	bahagia	'4	corp_iMxd2012_1M	stn._77136	yang jelas aku tidak membutuhkan <node>bahagia</node> asalkan keluargaku semua <colloc span=4>sehat</colloc> dan tidak ada halangan sesuatu
dia	bahagia	'-4	corp_iMxd2012_1M	stn._78845	<colloc span=-4>dia</colloc> tidak berdaya menerima <node>bahagia</node> akhirnya punya anak dua walau keadaan masih melarat juga
tidak	bahagia	'-3	corp_iMxd2012_1M	stn._78845	dia <colloc span=-3>tidak</colloc> berdaya menerima <node>bahagia</node> akhirnya punya anak dua walau keadaan masih melarat juga
berdaya	bahagia	'-2	corp_iMxd2012_1M	stn._78845	dia tidak <colloc span=-2>berdaya</colloc> menerima <node>bahagia</node> akhirnya punya anak dua walau keadaan masih melarat juga
menerima	bahagia	'-1	corp_iMxd2012_1M	stn._78845	dia tidak berdaya <colloc span=-1>menerima</colloc> <node>bahagia</node> akhirnya punya anak dua walau keadaan masih melarat juga
akhirnya	bahagia	'1	corp_iMxd2012_1M	stn._78845	dia tidak berdaya menerima <node>bahagia</node> <colloc span=1>akhirnya</colloc> punya anak dua walau keadaan masih melarat juga
punya	bahagia	'2	corp_iMxd2012_1M	stn._78845	dia tidak berdaya menerima <node>bahagia</node> akhirnya <colloc span=2>punya</colloc> anak dua walau keadaan masih melarat juga
anak	bahagia	'3	corp_iMxd2012_1M	stn._78845	dia tidak berdaya menerima <node>bahagia</node> akhirnya punya <colloc span=3>anak</colloc> dua walau keadaan masih melarat juga
dua	bahagia	'4	corp_iMxd2012_1M	stn._78845	dia tidak berdaya menerima <node>bahagia</node> akhirnya punya anak <colloc span=4>dua</colloc> walau keadaan masih melarat juga
sumber	bahagia	'-1	corp_iMxd2012_1M	stn._103338	<colloc span=-1>sumber</colloc> <node>bahagia</node> ada dalam diri kita bukan dari luar diri kita
ada	bahagia	'1	corp_iMxd2012_1M	stn._103338	sumber <node>bahagia</node> <colloc span=1>ada</colloc> dalam diri kita bukan dari luar diri kita
dalam	bahagia	'2	corp_iMxd2012_1M	stn._103338	sumber <node>bahagia</node> ada <colloc span=2>dalam</colloc> diri kita bukan dari luar diri kita
diri	bahagia	'3	corp_iMxd2012_1M	stn._103338	sumber <node>bahagia</node> ada dalam <colloc span=3>diri</colloc> kita bukan dari luar diri kita
kita	bahagia	'4	corp_iMxd2012_1M	stn._103338	sumber <node>bahagia</node> ada dalam diri <colloc span=4>kita</colloc> bukan dari luar diri kita
balik	bahagia	'-4	corp_iMxd2012_1M	stn._109576	padahal di <colloc span=-4>balik</colloc> itu semua konsep <node>bahagia</node> yang kekal adalah bahagia yang tak bersyarat
itu	bahagia	'-3	corp_iMxd2012_1M	stn._109576	padahal di balik <colloc span=-3>itu</colloc> semua konsep <node>bahagia</node> yang kekal adalah bahagia yang tak bersyarat
semua	bahagia	'-2	corp_iMxd2012_1M	stn._109576	padahal di balik itu <colloc span=-2>semua</colloc> konsep <node>bahagia</node> yang kekal adalah bahagia yang tak bersyarat
konsep	bahagia	'-1	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua <colloc span=-1>konsep</colloc> <node>bahagia</node> yang kekal adalah bahagia yang tak bersyarat
yang	bahagia	'1	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep <node>bahagia</node> <colloc span=1>yang</colloc> kekal adalah bahagia yang tak bersyarat
kekal	bahagia	'2	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep <node>bahagia</node> yang <colloc span=2>kekal</colloc> adalah bahagia yang tak bersyarat
adalah	bahagia	'3	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep <node>bahagia</node> yang kekal <colloc span=3>adalah</colloc> bahagia yang tak bersyarat
bahagia	bahagia	'4	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep <node>bahagia</node> yang kekal adalah <colloc span=4>bahagia</colloc> yang tak bersyarat
bahagia	bahagia	'-4	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep <colloc span=-4>bahagia</colloc> yang kekal adalah <node>bahagia</node> yang tak bersyarat
yang	bahagia	'-3	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep bahagia <colloc span=-3>yang</colloc> kekal adalah <node>bahagia</node> yang tak bersyarat
kekal	bahagia	'-2	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep bahagia yang <colloc span=-2>kekal</colloc> adalah <node>bahagia</node> yang tak bersyarat
adalah	bahagia	'-1	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep bahagia yang kekal <colloc span=-1>adalah</colloc> <node>bahagia</node> yang tak bersyarat
yang	bahagia	'1	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep bahagia yang kekal adalah <node>bahagia</node> <colloc span=1>yang</colloc> tak bersyarat
tak	bahagia	'2	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep bahagia yang kekal adalah <node>bahagia</node> yang <colloc span=2>tak</colloc> bersyarat
bersyarat	bahagia	'3	corp_iMxd2012_1M	stn._109576	padahal di balik itu semua konsep bahagia yang kekal adalah <node>bahagia</node> yang tak <colloc span=3>bersyarat</colloc>
rasa	bahagia	'-3	corp_iMxd2012_1M	stn._130725	<colloc span=-3>rasa</colloc> puas dan <node>bahagia</node> memenuhi rongga dadaku
puas	bahagia	'-2	corp_iMxd2012_1M	stn._130725	rasa <colloc span=-2>puas</colloc> dan <node>bahagia</node> memenuhi rongga dadaku
dan	bahagia	'-1	corp_iMxd2012_1M	stn._130725	rasa puas <colloc span=-1>dan</colloc> <node>bahagia</node> memenuhi rongga dadaku
memenuhi	bahagia	'1	corp_iMxd2012_1M	stn._130725	rasa puas dan <node>bahagia</node> <colloc span=1>memenuhi</colloc> rongga dadaku
rongga	bahagia	'2	corp_iMxd2012_1M	stn._130725	rasa puas dan <node>bahagia</node> memenuhi <colloc span=2>rongga</colloc> dadaku
dadaku	bahagia	'3	corp_iMxd2012_1M	stn._130725	rasa puas dan <node>bahagia</node> memenuhi rongga <colloc span=3>dadaku</colloc>
memutuskan	bahagia	'-4	corp_iMxd2012_1M	stn._137251	buat saya lebih realistis kalau kita jatuh cinta lalu kalau <colloc span=-4>memutuskan</colloc> menikah dan meraih <node>bahagia</node>
menikah	bahagia	'-3	corp_iMxd2012_1M	stn._137251	buat saya lebih realistis kalau kita jatuh cinta lalu kalau memutuskan <colloc span=-3>menikah</colloc> dan meraih <node>bahagia</node>
dan	bahagia	'-2	corp_iMxd2012_1M	stn._137251	buat saya lebih realistis kalau kita jatuh cinta lalu kalau memutuskan menikah <colloc span=-2>dan</colloc> meraih <node>bahagia</node>
meraih	bahagia	'-1	corp_iMxd2012_1M	stn._137251	buat saya lebih realistis kalau kita jatuh cinta lalu kalau memutuskan menikah dan <colloc span=-1>meraih</colloc> <node>bahagia</node>
ria	bahagia	'-4	corp_iMxd2012_1M	stn._145130	masih bersikeras untuk pergi kepantai benteng portugis atau berdiam diri dirumah sambil melihat satu persatu tetesan air hujan dengan penuh rasa sesal karena tak jadi bersuka <colloc span=-4>ria</colloc> tertawa bersama penuh <node>bahagia</node>
tertawa	bahagia	'-3	corp_iMxd2012_1M	stn._145130	masih bersikeras untuk pergi kepantai benteng portugis atau berdiam diri dirumah sambil melihat satu persatu tetesan air hujan dengan penuh rasa sesal karena tak jadi bersuka ria <colloc span=-3>tertawa</colloc> bersama penuh <node>bahagia</node>
bersama	bahagia	'-2	corp_iMxd2012_1M	stn._145130	masih bersikeras untuk pergi kepantai benteng portugis atau berdiam diri dirumah sambil melihat satu persatu tetesan air hujan dengan penuh rasa sesal karena tak jadi bersuka ria tertawa <colloc span=-2>bersama</colloc> penuh <node>bahagia</node>
penuh	bahagia	'-1	corp_iMxd2012_1M	stn._145130	masih bersikeras untuk pergi kepantai benteng portugis atau berdiam diri dirumah sambil melihat satu persatu tetesan air hujan dengan penuh rasa sesal karena tak jadi bersuka ria tertawa bersama <colloc span=-1>penuh</colloc> <node>bahagia</node>
aku	bahagia	'-4	corp_iMxd2012_1M	stn._148497	kalau <colloc span=-4>aku</colloc> memikirkan dia rasa <node>bahagia</node> meliputi seluruh diriku bagaikan langit biru yang cerah dan pikiran yang gelap dan jahat itu buyar
memikirkan	bahagia	'-3	corp_iMxd2012_1M	stn._148497	kalau aku <colloc span=-3>memikirkan</colloc> dia rasa <node>bahagia</node> meliputi seluruh diriku bagaikan langit biru yang cerah dan pikiran yang gelap dan jahat itu buyar
dia	bahagia	'-2	corp_iMxd2012_1M	stn._148497	kalau aku memikirkan <colloc span=-2>dia</colloc> rasa <node>bahagia</node> meliputi seluruh diriku bagaikan langit biru yang cerah dan pikiran yang gelap dan jahat itu buyar
rasa	bahagia	'-1	corp_iMxd2012_1M	stn._148497	kalau aku memikirkan dia <colloc span=-1>rasa</colloc> <node>bahagia</node> meliputi seluruh diriku bagaikan langit biru yang cerah dan pikiran yang gelap dan jahat itu buyar
meliputi	bahagia	'1	corp_iMxd2012_1M	stn._148497	kalau aku memikirkan dia rasa <node>bahagia</node> <colloc span=1>meliputi</colloc> seluruh diriku bagaikan langit biru yang cerah dan pikiran yang gelap dan jahat itu buyar
seluruh	bahagia	'2	corp_iMxd2012_1M	stn._148497	kalau aku memikirkan dia rasa <node>bahagia</node> meliputi <colloc span=2>seluruh</colloc> diriku bagaikan langit biru yang cerah dan pikiran yang gelap dan jahat itu buyar
diriku	bahagia	'3	corp_iMxd2012_1M	stn._148497	kalau aku memikirkan dia rasa <node>bahagia</node> meliputi seluruh <colloc span=3>diriku</colloc> bagaikan langit biru yang cerah dan pikiran yang gelap dan jahat itu buyar
bagaikan	bahagia	'4	corp_iMxd2012_1M	stn._148497	kalau aku memikirkan dia rasa <node>bahagia</node> meliputi seluruh diriku <colloc span=4>bagaikan</colloc> langit biru yang cerah dan pikiran yang gelap dan jahat itu buyar
lagi	bahagia	'-4	corp_iMxd2012_1M	stn._150535	kalau sebab adanya ketidak-bahagiaan ini sudah tidak ada <colloc span=-4>lagi</colloc> kita tidak membutuhkan <node>bahagia</node>
kita	bahagia	'-3	corp_iMxd2012_1M	stn._150535	kalau sebab adanya ketidak-bahagiaan ini sudah tidak ada lagi <colloc span=-3>kita</colloc> tidak membutuhkan <node>bahagia</node>
