COLLOCATES	WORDS	SPAN	CORPUS	SENTENCE_NUM	MATCHED_SENTENCE
berlangsung	bahagia	'-4	corp_iNwsCrw2012_1M	stn._254687	<colloc span=-4>berlangsung</colloc> penuh haru dan <node>bahagia</node> NA NA NA NA
suara	bahagia	'-4	corp_iNwsCrw2012_1M	stn._263107	<colloc span=-4>suara</colloc> tawa dan rasa <node>bahagia</node> terpancar di wajah semua
penuh	bahagia	'-4	corp_iNwsCrw2012_1M	stn._313229	<colloc span=-4>penuh</colloc> suka cita dan <node>bahagia</node> oleh sang putra tersayang
menyembunyikan	bahagia	'-4	corp_iNwsCrw2012_1M	stn._328696	<colloc span=-4>menyembunyikan</colloc> rasa bangga dan <node>bahagia</node> NA NA NA NA
sehingga	bahagia	'-4	corp_iNwsCrw2012_1M	stn._398918	<colloc span=-4>sehingga</colloc> pencarian menuju puncak-puncaknya <node>bahagia</node> diterjemahkan menjadi begitu banyak
dari	bahagia	'-4	corp_iNwsCrw2012_1M	stn._439117	<colloc span=-4>dari</colloc> rasa tenteram serta <node>bahagia</node> NA NA NA NA
agar	bahagia	'-4	corp_iNwsCrw2012_1M	stn._490102	<colloc span=-4>agar</colloc> semua orang mengartikan <node>bahagia</node> itu jika mempunyai banyak
hollywood	bahagia	'-4	corp_iNwsCrw2012_1M	stn._662450	<colloc span=-4>hollywood</colloc> telah mengekpresikan rasa <node>bahagia</node> dan kebanggaan mereka saat
menyampaikan	bahagia	'-4	corp_iNwsCrw2012_1M	stn._681413	<colloc span=-4>menyampaikan</colloc> rasa terhibur dan <node>bahagia</node> ketika mereka bertemu presiden
yang	bahagia	'-4	corp_iNwsCrw2012_1M	stn._685819	<colloc span=-4>yang</colloc> datang banyak raut-raut <node>bahagia</node> karena mereka mendapatkan layanan
tak	bahagia	'-4	corp_iNwsCrw2012_1M	stn._699967	<colloc span=-4>tak</colloc> dapat menahan rasa <node>bahagia</node> NA NA NA NA
kuat	bahagia	'-4	corp_iNwsCrw2012_1M	stn._700459	<colloc span=-4>kuat</colloc> saat melihat rona <node>bahagia</node> di mata orang tuanya
yang	bahagia	'-4	corp_iNwsCrw2012_1M	stn._731935	<colloc span=-4>yang</colloc> hidupnya jauh dari <node>bahagia</node> NA NA NA NA
95	bahagia	'-4	corp_iNwsCrw2012_1M	stn._739831	<colloc span=-4>95</colloc> persen dengan rasa <node>bahagia</node> agar tiap orang tahu
semua	bahagia	'-4	corp_iNwsCrw2012_1M	stn._767635	<colloc span=-4>semua</colloc> peserta untuk merasakan <node>bahagia</node> tanpa syarat NA NA
sosial	bahagia	'-4	corp_iNwsCrw2012_1M	stn._930923	<colloc span=-4>sosial</colloc> tak selalu menghadirkan <node>bahagia</node> bagi kebanyakan manusia NA
dan	bahagia	'-4	corp_iNwsCrw2012_1M	stn._960917	<colloc span=-4>dan</colloc> tidak punya rasa <node>bahagia</node> atas apa yag diterimanya
tak	bahagia	'-4	corp_iNwsCrw2012_1M	stn._999615	<colloc span=-4>tak</colloc> bisa menyembunyikan rasa <node>bahagia</node> yang terpancar dari wajahnya
ke	bahagia	'-4	corp_iWeb2011_300K	stn._21730	<colloc span=-4>ke</colloc> detik meneteskan rasa <node>bahagia</node> NA NA NA NA
muncullah	bahagia	'-4	corp_iWeb2011_300K	stn._36270	<colloc span=-4>muncullah</colloc> rasa syukur dan <node>bahagia</node> menikmati rahmat dan karunia
ingin	bahagia	'-4	corp_iWeb2011_300K	stn._49687	<colloc span=-4>ingin</colloc> meninggalkannya saya memilih <node>bahagia</node> ades justitia dear diary
berdoa	bahagia	'-4	corp_iWeb2011_300K	stn._54020	<colloc span=-4>berdoa</colloc> yaitu diliputi perasaan <node>bahagia</node> senang dan gembira NA
ada	bahagia	'-4	corp_iWeb2011_300K	stn._67862	<colloc span=-4>ada</colloc> bodoh dan ada <node>bahagia</node> dan ada duka NA
mendorong	bahagia	'-4	corp_iWeb2011_300K	stn._75414	<colloc span=-4>mendorong</colloc> otak menstimulasi perasaan <node>bahagia</node> sehingga dapat memperbaiki jaringan
keluh	bahagia	'-4	corp_iWeb2011_300K	stn._91867	<colloc span=-4>keluh</colloc> kesal sayang duka <node>bahagia</node> bercampur dalam romantika rumah
yang	bahagia	'-4	corp_iWeb2011_300K	stn._146300	<colloc span=-4>yang</colloc> selalu diliputi rasa <node>bahagia</node> cerita dewasa sahabat istriku
diakui	bahagia	'-4	corp_iWeb2011_300K	stn._182926	<colloc span=-4>diakui</colloc> saat ini perasaan <node>bahagia</node> selalu menghampiri dirinya NA
sebuah	bahagia	'-4	corp_iWeb2011_300K	stn._184118	<colloc span=-4>sebuah</colloc> cinta yang menjanjikan <node>bahagia</node> NA NA NA NA
akan	bahagia	'-4	corp_iWeb2011_300K	stn._190115	<colloc span=-4>akan</colloc> selalu mendatangkan rasa <node>bahagia</node> NA NA NA NA
karena	bahagia	'-4	corp_iWeb2011_300K	stn._195165	<colloc span=-4>karena</colloc> baru menyadari binar <node>bahagia</node> itu berasal dari tugas-tugas
kantor	bahagia	'-4	corp_iWeb2011_300K	stn._203146	<colloc span=-4>kantor</colloc> sempat ngobrol mengenai <node>bahagia</node> ini NA NA NA
bahagia	bahagia	'-4	corp_iWeb2011_300K	stn._203679	<colloc span=-4>bahagia</colloc> dan yang menerima <node>bahagia</node> NA NA NA NA
dan	bahagia	'-4	corp_iWeb2011_300K	stn._204474	<colloc span=-4>dan</colloc> memicu timbulnya perasaan <node>bahagia</node> NA NA NA NA
tidak	bahagia	'-4	corp_iWeb2011_300K	stn._212343	<colloc span=-4>tidak</colloc> akan mengenal arti <node>bahagia</node> kalau tidak pernah menderita
air	bahagia	'-4	corp_iWeb2011_300K	stn._250165	<colloc span=-4>air</colloc> mata sedih dan <node>bahagia</node> telah tercurahkan NA NA
menetes	bahagia	'-4	corp_iWeb2011_300K	stn._263988	<colloc span=-4>menetes</colloc> deras ada letupan-letupan <node>bahagia</node> yang begitu dahysat didadanya
kita	bahagia	'-4	corp_iWeb2011_300K	stn._266560	<colloc span=-4>kita</colloc> goodbye dengan perasaan <node>bahagia</node> NA NA NA NA
memandang	bahagia	'-4	corp_iWeb2011_300K	stn._273431	<colloc span=-4>memandang</colloc> mudah kejayaan menganyam <node>bahagia</node> selama 19 tahun hidup
tahun	bahagia	'-4	corp_iWeb2011_300K	stn._297357	<colloc span=-4>tahun</colloc> perjalanannya kami mensyukuri <node>bahagia</node> namun tidak lupa untuk
nabi	bahagia	'-4	corp_iWeb2012_1M	stn._8916	<colloc span=-4>nabi</colloc> saw dengan penuh <node>bahagia</node> NA NA NA NA
perasaan	bahagia	'-4	corp_iWeb2012_1M	stn._15357	<colloc span=-4>perasaan</colloc> galau cemas campur <node>bahagia</node> karena ne wd pertama
itu	bahagia	'-4	corp_iWeb2012_1M	stn._45904	<colloc span=-4>itu</colloc> menjamin anak kunci <node>bahagia</node> NA NA NA NA
namun	bahagia	'-4	corp_iWeb2012_1M	stn._49056	<colloc span=-4>namun</colloc> demikian bukanlah ungkapan <node>bahagia</node> yang terlontar sebaliknya si
tidak	bahagia	'-4	corp_iWeb2012_1M	stn._53386	<colloc span=-4>tidak</colloc> menolak kerana dirasakan <node>bahagia</node> di saat hatinya dekat
ia	bahagia	'-4	corp_iWeb2012_1M	stn._54352	<colloc span=-4>ia</colloc> mendefinisikan seseorang yang <node>bahagia</node> adalah seseorang yang sering
orang	bahagia	'-4	corp_iWeb2012_1M	stn._66478	<colloc span=-4>orang</colloc> yang tak mengenal <node>bahagia</node> NA NA NA NA
dengan	bahagia	'-4	corp_iWeb2012_1M	stn._69975	<colloc span=-4>dengan</colloc> ramah penuh rasa <node>bahagia</node> dan rendah hati NA
puluhan	bahagia	'-4	corp_iWeb2012_1M	stn._93278	<colloc span=-4>puluhan</colloc> tahun untuk mencapai <node>bahagia</node> itu NA NA NA
itu	bahagia	'-4	corp_iWeb2012_1M	stn._96355	<colloc span=-4>itu</colloc> saya pun ikut <node>bahagia</node> dan ikhlas NA NA
